diameter,center_lon,center_lat,counted on,VID,sfs_depth,d/D,age,x,y,radius (m)
7.296531584830442,30.363908052831107,-85.50709830327014,sfs,,0.4226388095503353,0.058,53000000,-2987.7572950473495,-2647.124056315273,3.648265792415221
9.955446733685843,30.37192745733604,-85.50771045680244,sfs,,0.4964907810526711,0.05,68000000,-2968.308898204091,-2665.2666944337984,4.9777233668429215
5.350750190805899,30.372562797044157,-85.50633335751837,sfs,,0.2282556573400143,0.043,40000000,-2967.707820139746,-2623.4854352922175,2.6753750954029494
3.9748258265019003,30.375911360245173,-85.50533020494741,sfs,,0.2198595154659415,0.055,21000000,-2960.4134966346583,-2592.900927283193,1.9874129132509502
6.4357133686167245,30.35573621365876,-85.51042875053612,sfs,,0.16990304366117925,0.026,46000000,-3004.93958972007,-2748.5161875028684,3.2178566843083622
8.041097224979259,30.34386272797164,-85.51025998230341,sfs,,0.2597029053904407,0.032,53000000,-3033.2298890021866,-2744.0235070191575,4.0205486124896295
7.078397072678264,30.340049968633295,-85.51018692522656,sfs,,0.15268835361439415,0.022,53000000,-3042.327516151067,-2742.01023490256,3.539198536339132
5.181984733037458,30.371921318068917,-85.50862232285182,sfs,,0.23210086065137148,0.045,35000000,-2967.722222048824,-2692.91134411078,2.590992366518729
7.4337802965118955,30.374189811950064,-85.50906708359703,sfs,,0.21676395613212662,0.029,53000000,-2962.0440073247487,-2706.2777947359305,3.7168901482559478
6.486800107815604,30.33909671586484,-85.50539511284391,sfs,,0.2967574615695412,0.046,46000000,-3047.8322805068456,-2596.7928918945354,3.243400053907802
7.101085663115858,30.33341961832377,-85.50548013907382,sfs,,0.3291674793999846,0.046,53000000,-3061.2615990052172,-2599.6722394715525,3.550542831557929
4.202134460812765,30.36797798447896,-85.51015405508404,sfs,,0.12163297083588986,0.029,30000000,-2976.0706676836126,-2739.551541216216,2.1010672304063824
9.730304841322095,30.38182581093775,-85.51029217925236,sfs,,0.4497876879740943,0.046,68000000,-2943.1162398115043,-2743.0258823996232,4.8651524206610475
5.865037987844099,30.396266740656085,-85.51044956189305,sfs,,0.23970207840466173,0.041,40000000,-2908.7437133035937,-2747.0620109366328,2.9325189939220495
4.729241674276899,30.39478614309473,-85.50979728050567,sfs,,0.28828858391716494,0.061,23000000,-2912.6795342146024,-2727.362110585812,2.3646208371384496
15.138185491863515,30.400517321311337,-85.50969033604675,sfs,,0.8772362007102856,0.058,110000000,-2899.1458397309366,-2723.830164705787,7.569092745931758
20.565300723582748,30.38945899366601,-85.50569008996142,sfs,,1.6609652775259747,0.081,131000000,-2927.9933176542504,-2603.11734597992,10.282650361791374
9.13280720306093,30.398968397069844,-85.50698562559289,sfs,,0.43891904232623347,0.048,59000000,-2904.567015133077,-2641.910916581677,4.566403601530465
10.161457841585259,30.398573575021576,-85.50729435639614,sfs,,0.6418032306883106,0.063,68000000,-2905.3054603475643,-2651.2905165522448,5.080728920792629
8.86669030152944,30.401619877055225,-85.50830357217839,sfs,,0.6478581347946601,0.073,40000000,-2897.4215889600164,-2681.7326698065676,4.43334515076472
6.141486427352195,30.41022297354963,-85.50929521748176,sfs,,0.17419586410142074,0.028,46000000,-2876.362007079006,-2711.363871730813,3.0707432136760975
6.522336930251143,30.416676626394718,-85.50961318254896,sfs,,0.25561753859528835,0.039,46000000,-2860.8407137265954,-2720.6814187710297,3.2611684651255715
10.158619119809998,30.434678301382014,-85.50889464450353,sfs,,0.5358140313182957,0.053,68000000,-2818.562661136336,-2698.0082185478655,5.079309559904999
7.982970336368167,30.4303613701799,-85.50978230371761,sfs,,0.35930211918093846,0.045,53000000,-2828.252884947649,-2725.1313550069804,3.9914851681840835
5.404803536360284,30.428785457064556,-85.51018163308034,sfs,,0.366649939400304,0.068,22000000,-2831.7419460071546,-2737.315364830716,2.702401768180142
